scenario,environment,environment_index,strategy,description,probability_of_detection,probability_of_false_alarm,sensitivity,average_intercept_rate,average_reward,average_cost,average_continuous_reward,percentage_of_correct_predictions,average_intercept_time_error,average_intercept_time_error_us,average_time_to_intercept,average_time_to_intercept_censored,average_time_to_intercept_us,scan_efficiency,coverage,active_band_coverage,average_dwell_time,total_reward,n_timesteps,n_bands,emission_opportunities,observed_active_cells,intercepts,observed_idle_cells,false_alarms,visits,settling_timesteps,predictions,correct_predictions,bands_ever_active,bands_intercepted,n_intercept_time_predictions
spatial_scan,config_189:spatial_scan,0,sequential,Open-loop sequential sweep (baseline),0.029225908372827805,0.0073389508018483285,0.9221183800623053,0.074,-0.0379,-0.060576250000000005,0.060576250000000005,,138.9581589958159,277916.3179916318,101.14285714285714,101.14285714285714,202285.7142857143,0.074,1.0,1.0,2.0,-151.60000000000002,4000.0,32.0,10128.0,321.0,296.0,3679.0,27.0,4000.0,0.0,0.0,0.0,7.0,7.0,239.0
spatial_scan,config_189:spatial_scan,0,random,Uniform random band selection,0.025967614533965244,0.008609093354856066,0.9293286219081273,0.06575,-0.0505625,-0.0517325,0.0517325,,255.51363636363635,511027.2727272727,26.142857142857142,26.142857142857142,52285.71428571428,0.06575,1.0,1.0,2.0,-202.25,4000.0,32.0,10128.0,283.0,263.0,3717.0,32.0,4000.0,0.0,0.0,0.0,7.0,7.0,220.0
spatial_scan,config_189:spatial_scan,0,smart_heuristic,Smart Scan without the learned model (occupancy heuristic + Thompson),0.05519352290679305,0.008789920890711983,0.9522998296422487,0.13975,0.03629999999999999,-0.12595075,0.12595075,93.60000000000001,87.6094890510949,175218.97810218978,103.71428571428571,103.71428571428571,207428.57142857142,0.13975,1.0,1.0,2.0,145.19999999999996,4000.0,32.0,10128.0,587.0,559.0,3413.0,30.0,4000.0,0.0,2000.0,1872.0,7.0,7.0,411.0
spatial_scan,config_189:spatial_scan,0,smart_ml_only,Smart Scan with XGBoost but no online Thompson Sampling,0.056477093206951025,0.007941176470588234,0.9533333333333334,0.143,0.0399125,-0.12957125000000003,0.12957125000000003,88.25,137.8375,275675.0,90.71428571428571,90.71428571428571,181428.57142857142,0.143,1.0,1.0,2.0,159.64999999999998,4000.0,32.0,10128.0,600.0,572.0,3400.0,27.0,4000.0,0.0,2000.0,1765.0,7.0,7.0,440.0
spatial_scan,config_189:spatial_scan,0,smart,"Smart Scan as shipped: XGBoost, Thompson Sampling per config.yaml",0.056477093206951025,0.007941176470588234,0.9533333333333334,0.143,0.0399125,-0.12957125000000003,0.12957125000000003,88.25,137.8375,275675.0,90.71428571428571,90.71428571428571,181428.57142857142,0.143,1.0,1.0,2.0,159.64999999999998,4000.0,32.0,10128.0,600.0,572.0,3400.0,27.0,4000.0,0.0,2000.0,1765.0,7.0,7.0,440.0
spatial_scan,config_158:spatial_scan,1,sequential,Open-loop sequential sweep (baseline),0.026119402985074626,0.012276214833759591,0.9333333333333333,0.021,-0.09916250000000001,-0.004946999999999997,0.004946999999999997,,41.093333333333334,82186.66666666667,1660.75,1660.75,3321500.0,0.021,1.0,1.0,2.0,-396.65000000000003,4000.0,32.0,3216.0,90.0,84.0,3910.0,48.0,4000.0,0.0,0.0,0.0,4.0,4.0,75.0
spatial_scan,config_158:spatial_scan,1,random,Uniform random band selection,0.027052238805970148,0.012784454103809767,0.9775280898876404,0.02175,-0.1015625,-0.005479499999999998,0.005479499999999998,,235.484,470968.0,522.25,522.25,1044500.0,0.02175,1.0,1.0,2.0,-406.25,4000.0,32.0,3216.0,89.0,87.0,3911.0,50.0,4000.0,0.0,0.0,0.0,4.0,4.0,125.0
spatial_scan,config_158:spatial_scan,1,smart_heuristic,Smart Scan without the learned model (occupancy heuristic + Thompson),0.04664179104477612,0.012763740557436832,0.9316770186335404,0.0375,-0.0804875,-0.0213545,0.0213545,94.0,190.44772727272726,380895.45454545453,324.75,324.75,649500.0,0.0375,1.0,1.0,2.0,-321.95,4000.0,32.0,3216.0,161.0,150.0,3839.0,49.0,4000.0,0.0,2000.0,1880.0,4.0,4.0,220.0
spatial_scan,config_158:spatial_scan,1,smart_ml_only,Smart Scan with XGBoost but no online Thompson Sampling,0.05254975124378109,0.012823868097356713,0.9441340782122905,0.04225,-0.0751,-0.02610024999999999,0.02610024999999999,96.7,146.334008097166,292668.016194332,407.75,407.75,815500.0,0.04225,1.0,1.0,2.0,-300.4,4000.0,32.0,3216.0,179.0,169.0,3821.0,49.0,4000.0,0.0,2000.0,1934.0,4.0,4.0,247.0
spatial_scan,config_158:spatial_scan,1,smart,"Smart Scan as shipped: XGBoost, Thompson Sampling per config.yaml",0.05254975124378109,0.012823868097356713,0.9441340782122905,0.04225,-0.0751,-0.02610024999999999,0.02610024999999999,96.7,146.334008097166,292668.016194332,407.75,407.75,815500.0,0.04225,1.0,1.0,2.0,-300.4,4000.0,32.0,3216.0,179.0,169.0,3821.0,49.0,4000.0,0.0,2000.0,1934.0,4.0,4.0,247.0
