model,roc_auc,pr_auc,f1,brier,ece,fit_seconds,intercept_rate,average_reward,intercept_time_error,tti_censored,active_band_coverage
heuristic,0.8799449061136795,0.759841320435085,0.7685429222467471,0.06151316567014631,0.04529197264684186,0.0,0.07830128205128205,-0.02670352564102564,37.518405161204875,170.66834554334554,0.8348595848595849
logistic,0.9711568309053248,0.9201390879340762,0.8468483697735705,0.03912471235504813,0.0036736225736580816,4.581863999992493,0.08368589743589745,-0.01997115384615385,32.40459830267706,165.93462555962554,0.8621489621489622
